ID Cliente; Nome Completo ;CPF;Data Nasc.;E-mail;Telefone ;Cidade;UF ;Renda Mensal (R$);Segmento;Data Cadastro
CLT-0434;renato santos freitas;0808157129;05/06/1991;renato.freitas95@yahoo.com.br;(61) 91996-8593;VITÓRIA;ES ;2.518,46;Varejo;2024-03-01
CLT-0779;Renato Araújo   ;70411678815;1965-04-09;renato.araujo6@hotmail.com;(51) 97549-8540;Florianópolis;sc;5.019,88;private;13/09/2022
CLT-0418;Priscila Barbosa;68299687225;09/02/1971;priscila.barbosa58@outlook.com;62916259718;FORTALEZA;ce;48.776,35;Varejo;2023-12-10
CLT-0049;César Cardoso;7575844198;30/10/1997;cesar.cardoso25@hotmail.com;(61) 93399-5758;Salvador;BA;R$ 19297.83;PREMIUM;09/10/2016
CLT-0217;Igor Rodrigues Freitas;024.972.439-92;10-07-1984;igor.freitas90@gmail.com;+55 19 97297-7515;São Paulo;SP;R$ 2731.99;Private;2016-10-20
CLT-0078;Ana Santos;21510702966;23/11/1960;ana.santos83@gmail.com;(71) 93831-6799;Rio de Janeiro;rj;R$ 2.581,11;VAREJO;2021-04-11
CLT-0463;  diego rocha;227.595.002-60;26/11/1984;diego.rocha30@outlook.com;;Florianópolis;SC;7694.75;private;2020-10-27
CLT-0535;  Renato Oliveira;49680664051;18-jan-1999;renato.oliveira29@outlook.com;31 924923637;Manaus;am;7.050,30;Premium;2019-05-26
CLT-0578;Sofia Rodrigues;84025787036;18/11/1971;sofia.rodrigues32@outlook.com;(11) 97444-4874;Rio de Janeiro;RJ ;2.846,87;Varejo;25-09-2024
CLT-0336;Gustavo Santos;45273466661;1966-11-24;gustavo.santos76@gmail.com;61989317370;salvador;BA;R$ 56474.68;PREMIUM;10-06-2021
CLT-0811;ana freitas;580.619.499-91;1978-04-27;ana.freitas14@gmail.com;62 971221592;Vitoria;ES ;R$ 1.450,88;Private;2017-02-16
CLT-0579;Igor Rodrigues   ;945.237.597-95;25/10/2006;;(19) 94058-7429;SALVADOR;BA;1560.18;Varejo;26/08/2024
CLT-0792;Juliana Oliveira;011.962.272-38;1994-11-04;juliana.oliveira41@outlook.com;+55 51 93059-2621;Belém;pa;36410.86;Varejo;24-12-2024
CLT-0809;Carla Monteiro;212.156.038-71;1971-07-05;carla.monteiro82@hotmail.com;41964086084;Manaus;am;R$ 17.294,34;VAREJO;31/07/2024
CLT-0678;Paulo Cardoso Martins;680.635.853-01;26/12/1952;paulo.martins39@bol.com.br;+55 31 98197-9999;Florianópolis;SC ;12935.27;VAREJO;19-nov-2016
CLT-0135;  Lucas Souza;77671990384;1975-11-28;;(41) 91801-4028;Porto Alegre;RS;44319.36;VAREJO;28/10/2015
CLT-0470;  Olívia Costa Rocha;599.302.020-30;06-03-2005;olivia.rocha36@hotmail.com;(31) 94588-3149;são paulo;sp;2.908,51;varejo;21/01/23
CLT-0757;marcos rodrigues;3387885285;1950-08-19;marcos.rodrigues82@yahoo.com.br;85 927189947;Brasília;df;R$ 15.132,73;premium;07-abr-2020
CLT-0429;Bruno Rodrigues;929.501.437-48;1968-02-14;bruno.rodrigues42@gmail.com;;Florianópolis;SC;R$ 2.312,47;Varejo;18/03/2026
CLT-0333;Natália Ribeiro Costa;39220715116;21/04/98;natalia.costa7@outlook.com;+55 71 97677-7247;Curitiba;PR ;R$ 22.545,15;PREMIUM;13/09/2022
CLT-0719;Samuel Oliveira;69744203607;20-11-1982;samuel.oliveiragmail.com;(51) 99894-4090;Belém;PA ;3.253,70;Premium;2023-05-10
CLT-0630;eduarda campos;71859212684;30/06/1986;eduarda.campos88@yahoo.com.br;(41) 99158-2372;Goiânia;GO;13733,88;Varejo;27/12/2021
CLT-0011;Igor Oliveira;29946804436;1982-09-04;igor.oliveira65@outlook.com;61986188238;Manaus;am;R$ 4.967,82;varejo;12-08-2025
CLT-0326;Karina Nascimento;501.848.197-37;06/02/1985;karina.nascimento18@yahoo.com.br;(62) 98444-3517;Florianópolis;sc;R$ 26073.85;Varejo;28/08/22
CLT-0756;césar carvalho;01522133689;27/05/1977;CESAR.CARVALHO@HOTMAIL.COM;85942075461;Florianópolis;SC;14839.85;PRIVATE;30/07/2016
CLT-0080;Olívia Teixeira Barbosa;784.270.103-93;1973-11-29;olivia.barbosa95@outlook.com;61943003137;Rio de Janeiro;rj;R$ 3.626,93;Varejo;04/04/2022
CLT-0079;Marcos Ribeiro;598.564.205-93;23-06-1976;marcos.ribeiro68@hotmail.com;51919598728;BELO HORIZONTE;mg;17538.15;varejo;21-mar-2020
CLT-0267;GUSTAVO COSTA;501.980.382-87;21/10/54;gustavo.costagmail.com;+55 19 93535-5929;salvador;BA ;1420.32;PREMIUM;22-02-2015
CLT-0720;Nicolas Barbosa;70150196797;30/10/1999;nicolas.barbosa77@hotmail.com;+55 31 96740-2206;fortaleza;ce;R$ 8.905,73;Varejo;2018-06-21
CLT-0684;Samuel Lima;33891478524;23/04/78;samuel.limagmail.com;31910434079;Belém;PA;R$ 14.383,21;Varejo;24/04/2017
CLT-0281;Sofia Costa;2702164871;12-08-1970;sofia.costa37@outlook.com;(11) 93735-2196;Campinas;SP;59329,91;PREMIUM;15/09/23
CLT-0258;BRUNO OLIVEIRA LIMA;1591030021;27-04-1953;bruno.lima52@gmail.com;(41) 93788-2442;porto alegre;RS;R$ 35733.10;VAREJO;10-04-2023
CLT-0762;João Pereira;55950263560;1959-04-11;;(85) 96105-4545;SALVADOR;BA;R$ 2.149,65;Private;12/03/24
CLT-0021;Larissa Monteiro;68071545168;19/09/1965;larissa.monteiro12@yahoo.com.br;(85) 98569-7770;Goiânia;GO;16.041,60;Varejo;2026-03-07
CLT-0515;Wesley Rocha;351.588.070-53;13/01/1952;WESLEY.ROCHA@HOTMAIL.COM;+55 62 92991-2996;Belém;PA;42410.96;PRIVATE;15/10/2016
CLT-0558;Olívia Carvalho Gomes;853.626.890-47;1966-05-25;olivia.gomes55@outlook.com;+55 62 95361-2035;campinas;SP ;R$ 3051.49;varejo;2015-01-27
CLT-0790;Marcos Almeida;486.741.637-12;23/02/1999;;81 964546655;Curitiba;pr;11.064,03;varejo;13/10/2025
CLT-0784;Igor Ferreira Gomes   ;9900479412;11/11/1950;igor.gomes92@gmail.com;+55 71 91133-2414;Porto Alegre;RS ;7.555,30;VAREJO;21/07/2017
CLT-0681;BRUNO RODRIGUES;990.009.406-56;1975-03-31;bruno.rodrigues57@outlook.com;41957595315;Fortaleza;CE;3.897,20;Premium;2022-06-25
CLT-0548;Igor Dias Ribeiro;886.406.756-02;11/10/1976;igor.ribeiro83@outlook.com;+55 62 92692-3814;Curitiba;PR;R$ 13.871,02;VAREJO;28/09/16
CLT-0155;bruno lima monteiro;317.970.623-97;15/05/1959;bruno.monteiro26@outlook.com;;Belém;PA;R$ 29.484,73;Premium;08/11/2017
CLT-0540;Érico Santos Nascimento;041.691.053-02;25/05/50;erico.nascimento96@gmail.com;71 988036975;vitória;ES;14934.65;Varejo;2023-09-15
CLT-0167;Natália Dias;75480157164;14-03-1969;natalia.dias49@yahoo.com.br;+55 19 98273-4700;BRASÍLIA;DF;R$ 1.771,40;Varejo;06/08/2024
CLT-0788;Mariana Freitas;23370071580;1952-10-12;mariana.freitas3@gmail.com;+55 21 95494-1795;Belém;PA;R$ 43.887,84;VAREJO;04/02/2019
CLT-0527;Otávio Freitas;986.546.22021;02/04/2001;otavio.freitas42@hotmail.com;62 990553431;PORTO ALEGRE;RS;1.912,93;Varejo;17/05/2022
CLT-0650;Marcos Araújo;4290695222;2000-05-06;marcos.araujo3@gmail.com;41929501256;Manaus;AM;20527,71;Premium;22-04-2015
CLT-0469;Renato Oliveira;93186928972;14/05/1999;renato.oliveira89@gmail.com;;Curitiba;PR ;R$ 16.505,96;Private;10/09/2025
CLT-0417;Thiago Cardoso;94842495988;2000-01-08;thiago.cardoso3@hotmail.com;+55 51 96681-8403;Fortaleza;CE;7.633,64;Premium;2015-10-21
CLT-0188;WESLEY SOUZA;213.760.375-48;11/10/2004;wesley.souza21@outlook.com;+55 62 97799-6908;FLORIANÓPOLIS;SC;R$ 6.928,84;Premium;16-06-2024
CLT-0354;isabela martins silva;459.908.027-11;01/06/2004;isabela.silva93@yahoo.com.br;31 948502505;Porto Alegre;rs;R$ 15755.94;PREMIUM;02/08/2022
CLT-0456;Thiago Ribeiro Pereira;898.260.418-09;12/02/2005;;21985526918;Goiânia;GO;R$ 19.319,22;varejo;2017-08-22
CLT-0656;Rafaela Barbosa Souza;876.209.906-93;19-04-1987;rafaela.souza55@hotmail.com;;Belo Horizonte;MG;2.974,31;Varejo;2016-08-27
