id_cliente,nome_completo,cpf,data_nascimento,e-mail,telefone,cidade,uf,renda_mensal,segmento,data_cadastro
CLT-0434,Renato Santos Freitas,0808157129,1991-05-06,renato.freitas95@yahoo.com.br,61919968593,Vitória,ES,2518.46,varejo,2024-03-01
CLT-0779,Renato Araújo,70411678815,1965-04-09,renato.araujo6@hotmail.com,51975498540,Florianópolis,SC,5019.88,private,2022-09-13
CLT-0418,Priscila Barbosa,68299687225,1971-09-02,priscila.barbosa58@outlook.com,62916259718,Fortaleza,CE,48776.35,varejo,2023-12-10
CLT-0049,César Cardoso,7575844198,1997-10-30,cesar.cardoso25@hotmail.com,61933995758,Salvador,BA,19297.83,premium,2016-09-10
CLT-0217,Igor Rodrigues Freitas,02497243992,1984-10-07,igor.freitas90@gmail.com,19972977515,São Paulo,SP,2731.99,private,2016-10-20
CLT-0078,Ana Santos,21510702966,1960-11-23,ana.santos83@gmail.com,71938316799,Rio De Janeiro,RJ,2581.11,varejo,2021-04-11
CLT-0463,Diego Rocha,22759500260,1984-11-26,diego.rocha30@outlook.com,,Florianópolis,SC,7694.75,private,2020-10-27
CLT-0535,Renato Oliveira,49680664051,1999-01-18,renato.oliveira29@outlook.com,31924923637,Manaus,AM,7050.3,premium,2019-05-26
CLT-0578,Sofia Rodrigues,84025787036,1971-11-18,sofia.rodrigues32@outlook.com,11974444874,Rio De Janeiro,RJ,2846.87,varejo,2024-09-25
CLT-0336,Gustavo Santos,45273466661,1966-11-24,gustavo.santos76@gmail.com,61989317370,Salvador,BA,56474.68,premium,2021-10-06
CLT-0811,Ana Freitas,58061949991,1978-04-27,ana.freitas14@gmail.com,62971221592,Vitoria,ES,1450.88,private,2017-02-16
CLT-0579,Igor Rodrigues,94523759795,2006-10-25,,19940587429,Salvador,BA,1560.18,varejo,2024-08-26
CLT-0792,Juliana Oliveira,01196227238,1994-11-04,juliana.oliveira41@outlook.com,51930592621,Belém,PA,36410.86,varejo,2024-12-24
CLT-0809,Carla Monteiro,21215603871,1971-07-05,carla.monteiro82@hotmail.com,41964086084,Manaus,AM,17294.34,varejo,2024-07-31
CLT-0678,Paulo Cardoso Martins,68063585301,1952-12-26,paulo.martins39@bol.com.br,31981979999,Florianópolis,SC,12935.27,varejo,2016-11-19
CLT-0135,Lucas Souza,77671990384,1975-11-28,,41918014028,Porto Alegre,RS,44319.36,varejo,2015-10-28
CLT-0470,Olívia Costa Rocha,59930202030,2005-06-03,olivia.rocha36@hotmail.com,31945883149,São Paulo,SP,2908.51,varejo,2023-01-21
CLT-0757,Marcos Rodrigues,3387885285,1950-08-19,marcos.rodrigues82@yahoo.com.br,85927189947,Brasília,DF,15132.73,premium,2020-07-04
CLT-0429,Bruno Rodrigues,92950143748,1968-02-14,bruno.rodrigues42@gmail.com,,Florianópolis,SC,2312.47,varejo,2026-03-18
CLT-0333,Natália Ribeiro Costa,39220715116,1998-04-21,natalia.costa7@outlook.com,71976777247,Curitiba,PR,22545.15,premium,2022-09-13
CLT-0719,Samuel Oliveira,69744203607,1982-11-20,samuel.oliveiragmail.com,51998944090,Belém,PA,3253.7,premium,2023-05-10
CLT-0630,Eduarda Campos,71859212684,1986-06-30,eduarda.campos88@yahoo.com.br,41991582372,Goiânia,GO,13733.88,varejo,2021-12-27
CLT-0011,Igor Oliveira,29946804436,1982-09-04,igor.oliveira65@outlook.com,61986188238,Manaus,AM,4967.82,varejo,2025-12-08
CLT-0326,Karina Nascimento,50184819737,1985-06-02,karina.nascimento18@yahoo.com.br,62984443517,Florianópolis,SC,26073.85,varejo,2022-08-28
CLT-0756,César Carvalho,01522133689,1977-05-27,CESAR.CARVALHO@HOTMAIL.COM,85942075461,Florianópolis,SC,14839.85,private,2016-07-30
CLT-0080,Olívia Teixeira Barbosa,78427010393,1973-11-29,olivia.barbosa95@outlook.com,61943003137,Rio De Janeiro,RJ,3626.93,varejo,2022-04-04
CLT-0079,Marcos Ribeiro,59856420593,1976-06-23,marcos.ribeiro68@hotmail.com,51919598728,Belo Horizonte,MG,17538.15,varejo,2020-03-21
CLT-0267,Gustavo Costa,50198038287,2054-10-21,gustavo.costagmail.com,19935355929,Salvador,BA,1420.32,premium,2015-02-22
